"","year(datosmeteo$Date)","month(datosmeteo$Date)","day(datosmeteo$Date)","mean(HiTemp)","mean(LowTemp)","mean(OutHum, na.rm = TRUE)","mean(WindSpeed)","sum(SunLight)"
"1",2015,1,1,28.3217391304348,27.6347826086957,64.695652173913,1.97391304347826,12
"2",2015,1,2,28.425,27.6541666666667,66.2083333333333,1.79166666666667,12
"3",2015,1,3,29.325,28.4291666666667,65.2083333333333,1.49583333333333,12
"4",2015,1,4,28.625,27.7458333333333,67.875,1.8375,12
"5",2015,1,5,28.3458333333333,27.625,66.25,2.45416666666667,12
"6",2015,1,6,28.1708333333333,27.2083333333333,68,2.04583333333333,12
"7",2015,1,7,27.6541666666667,26.9541666666667,65,2.325,12
"8",2015,1,8,27.7083333333333,27.0291666666667,64.4583333333333,2.2125,12
"9",2015,1,9,27.6041666666667,26.8958333333333,64.4166666666667,2.12083333333333,12
"10",2015,1,10,28.15,27.4875,64.375,2.125,12
"11",2015,1,11,28.4958333333333,27.65,68.2083333333333,1.94583333333333,12
"12",2015,1,12,29.3625,28.5875,66.7083333333333,1.69166666666667,12
"13",2015,1,13,28.4041666666667,27.375,71.0416666666667,1.70833333333333,12
"14",2015,1,14,29.1208333333333,28.0583333333333,63.0833333333333,1.45833333333333,12
"15",2015,1,15,28.55,27.4916666666667,68.4166666666667,1.1,12
"16",2015,1,16,27.9416666666667,27.2541666666667,68.5,1.97083333333333,12
"17",2015,1,17,28.1375,27.1708333333333,61.1666666666667,1.82916666666667,12
"18",2015,1,18,27.9166666666667,26.4,62.9166666666667,1.3375,12
"19",2015,1,19,27.4333333333333,25.9875,61.8333333333333,1.3,12
"20",2015,1,20,26.525,25.2583333333333,71.3333333333333,0.975,12
"21",2015,1,21,28.3,27.4,63.2083333333333,1.39583333333333,12
"22",2015,1,22,27.6625,26.4041666666667,64.5,1.11666666666667,12
"23",2015,1,23,28.1541666666667,26.6041666666667,67.2916666666667,0.779166666666667,12
"24",2015,1,24,27.0708333333333,25.875,67.8333333333333,0.941666666666667,12
"25",2015,1,25,27.4041666666667,26.6625,64.875,1.84583333333333,13
"26",2015,1,26,27.9125,26.45,62.0416666666667,1.74166666666667,12
"27",2015,1,27,28.1541666666667,27.1541666666667,60.7916666666667,1.8625,12
"28",2015,1,28,26.9333333333333,25.8208333333333,61.125,1.62916666666667,12
"29",2015,1,29,28.0166666666667,26.925,56.5,1.74166666666667,12
"30",2015,1,30,27.7166666666667,26.4375,62.9583333333333,1.82083333333333,12
"31",2015,1,31,27.4333333333333,26.5541666666667,63.9166666666667,2.05833333333333,12
"32",2015,2,1,28.7125,27.8041666666667,61.9166666666667,1.79583333333333,12
"33",2015,2,2,29.0375,28.1666666666667,63,1.55416666666667,12
"34",2015,2,3,28.8458333333333,28.0916666666667,60.875,1.85,12
"35",2015,2,4,28.7916666666667,27.9666666666667,59.6666666666667,1.69583333333333,12
"36",2015,2,5,28.1666666666667,26.975,67.5833333333333,1.22916666666667,12
"37",2015,2,6,29.2833333333333,28.1916666666667,58.0416666666667,1.675,12
"38",2015,2,7,28.6041666666667,27.6875,62.4583333333333,1.77083333333333,12
"39",2015,2,8,27.9708333333333,26.5833333333333,63,0.9875,12
"40",2015,2,9,26.5458333333333,25.3166666666667,73,0.3875,12
"41",2015,2,10,27.65,26.4166666666667,68.875,0.7875,12
"42",2015,2,11,28.4041666666667,27.2458333333333,61.125,1.25416666666667,12
"43",2015,2,12,27.5083333333333,26.1083333333333,68.5416666666667,1.125,12
"44",2015,2,13,28.3416666666667,26.8375,62.2916666666667,1.39583333333333,12
"45",2015,2,14,27.9166666666667,27.0875,52,1.95833333333333,12
"46",2015,2,15,28.1916666666667,27.3416666666667,54.625,1.72083333333333,12
"47",2015,2,16,28.8708333333333,28.0708333333333,58.1666666666667,1.59166666666667,12
"48",2015,2,17,28.6916666666667,27.2083333333333,61.125,0.858333333333333,12
"49",2015,2,18,27.7583333333333,26.3791666666667,61.6666666666667,1.1125,12
"50",2015,2,19,29.1416666666667,28.2458333333333,56.875,2.40416666666667,12
"51",2015,2,20,28.4916666666667,27.1708333333333,59.7916666666667,1.58333333333333,12
"52",2015,2,21,27.1875,26.0375,65.5416666666667,1.66666666666667,12
"53",2015,2,22,29.125,28.2416666666667,59.1666666666667,1.9375,12
"54",2015,2,23,29.2916666666667,28.3583333333333,60.7083333333333,1.6125,12
"55",2015,2,24,27.8916666666667,27.05,63.875,1.54166666666667,12
"56",2015,2,25,28.7791666666667,27.3708333333333,59.2916666666667,0.816666666666667,12
"57",2015,2,26,27.1227272727273,25.6318181818182,65.2727272727273,0.477272727272727,10
"58",2015,2,27,27.8666666666667,26.5375,64.25,1.21666666666667,13
"59",2015,2,28,29.1375,27.7958333333333,58.3333333333333,1.80833333333333,13
"60",2015,3,1,28.825,27.9083333333333,64,2.15,13
"61",2015,3,2,28.8708333333333,27.9958333333333,58.1666666666667,2.41666666666667,13
"62",2015,3,3,28.9583333333333,28.0125,56.125,2.03333333333333,13
"63",2015,3,4,28.8,27.9826086956522,57.1739130434783,2.38695652173913,12
"64",2015,3,5,29.6208333333333,28.7708333333333,55.875,2.44166666666667,13
"65",2015,3,6,29.3333333333333,28.5,60.3333333333333,3.20416666666667,12
"66",2015,3,7,28.4333333333333,27.675,58,3.83333333333333,13
"67",2015,3,8,28.0833333333333,27.3708333333333,60.7916666666667,3.67083333333333,12
"68",2015,3,9,28.525,27.625,60.8333333333333,3.37083333333333,13
"69",2015,3,10,28.9333333333333,28.1208333333333,61.25,3.29583333333333,13
"70",2015,3,11,29.1375,28.3833333333333,65.125,3.475,13
"71",2015,3,12,29.65,28.8583333333333,62.7916666666667,3.60833333333333,13
"72",2015,3,13,28.9458333333333,28.1666666666667,59.75,4.1,13
"73",2015,3,14,28.8666666666667,28,55.2083333333333,3.35833333333333,13
"74",2015,3,15,28.8916666666667,27.9541666666667,60.125,3.00416666666667,13
"75",2015,3,16,28.3,27.1125,63.5833333333333,2.51666666666667,13
"76",2015,3,17,28.8625,27.9333333333333,51.75,3.24583333333333,13
"77",2015,3,18,28.125,27.3375,56.2083333333333,2.59583333333333,13
"78",2015,3,19,28.3666666666667,27.0166666666667,56.6666666666667,1.05833333333333,13
"79",2015,3,20,28.7291666666667,27.2666666666667,56.4166666666667,1.47083333333333,13
"80",2015,3,21,28.5041666666667,27.0375,55.4583333333333,1.25833333333333,13
"81",2015,3,22,28.2291666666667,26.6916666666667,61.75,0.729166666666667,13
"82",2015,3,23,28.3958333333333,26.9375,60.7083333333333,0.8875,13
"83",2015,3,24,28.6333333333333,27.2291666666667,57.75,1.5375,13
"84",2015,3,25,29.7833333333333,28.3916666666667,52,1.76666666666667,13
"85",2015,3,26,29.7291666666667,28.2041666666667,53.875,1.3125,13
"86",2015,3,27,29.05,27.3916666666667,56.6666666666667,0.741666666666667,13
"87",2015,3,28,29.9541666666667,28.5458333333333,54.1666666666667,2.1125,13
"88",2015,3,29,30.1708333333333,29.0583333333333,51.5416666666667,2.4,13
"89",2015,3,30,28.4208333333333,27.1916666666667,60.6666666666667,1.92916666666667,13
"90",2015,3,31,28.9666666666667,27.6583333333333,58.7083333333333,2.51666666666667,13
"91",2015,4,1,29.8208333333333,28.8625,53.4166666666667,2.37083333333333,13
"92",2015,4,2,29.7416666666667,28.7958333333333,53.1666666666667,2.36666666666667,13
"93",2015,4,3,29.6916666666667,28.7958333333333,57.375,2.975,13
"94",2015,4,4,29.6958333333333,28.8416666666667,58.6666666666667,3.44583333333333,13
"95",2015,4,5,29.8333333333333,28.9083333333333,57.3333333333333,3.35,13
"96",2015,4,6,29.5208333333333,28.6666666666667,56.4583333333333,3.25833333333333,13
"97",2015,4,7,29.4833333333333,28.6541666666667,53.6666666666667,3.15416666666667,13
"98",2015,4,8,29.7083333333333,28.7375,52.9166666666667,3.01666666666667,13
"99",2015,4,9,29.7416666666667,28.8833333333333,57.7916666666667,2.75416666666667,13
"100",2015,4,10,30.0833333333333,29.2625,57.9583333333333,2.85833333333333,13
"101",2015,4,11,29.5291666666667,28.5708333333333,60.6666666666667,3.16666666666667,13
"102",2015,4,12,30.175,28.8916666666667,60.125,2.275,13
"103",2015,4,13,30.0416666666667,28.8458333333333,64.0416666666667,2.24583333333333,13
"104",2015,4,14,30.1,29.075,63.2083333333333,1.99583333333333,13
"105",2015,4,15,29.4625,28.5791666666667,64.8333333333333,1.8125,13
"106",2015,4,16,30.5666666666667,29.6166666666667,58.5,2.09166666666667,13
"107",2015,4,17,29.65,28.4333333333333,61.5416666666667,1.675,13
"108",2015,4,18,30.3041666666667,29.075,61.25,1.35,13
"109",2015,4,19,29.775,28.5833333333333,64.7083333333333,1.36666666666667,13
"110",2015,4,20,29.825,28.4791666666667,66.3333333333333,0.6875,13
"111",2015,4,21,29.7833333333333,28.6333333333333,63.375,1.17916666666667,13
"112",2015,4,22,30.45,29.2916666666667,62.875,2.20833333333333,13
"113",2015,4,23,30.0791666666667,29.2125,60.9583333333333,2.67916666666667,13
"114",2015,4,24,29.8875,28.9791666666667,56.75,2.5125,13
"115",2015,4,25,28.7875,27.375,60.5,0.745833333333333,13
"116",2015,4,26,29.025,27.7458333333333,63.5833333333333,0.625,13
"117",2015,4,27,30.1666666666667,28.9041666666667,68.25,0.475,13
"118",2015,4,28,31.2083333333333,30.0208333333333,73.2083333333333,0.508333333333333,13
"119",2015,4,29,29.6791666666667,28.7916666666667,79.6666666666667,0.483333333333333,13
"120",2015,4,30,27.8666666666667,27.1583333333333,81.6666666666667,0.241666666666667,13
"121",2015,5,1,29.5166666666667,28.325,72.125,0.9125,13
"122",2015,5,2,30.125,28.9666666666667,62.3333333333333,1.42083333333333,13
"123",2015,5,3,29.8791666666667,28.5333333333333,59.75,1.33333333333333,13
"124",2015,5,4,29.8416666666667,28.7458333333333,59.3333333333333,1.68333333333333,13
"125",2015,5,5,30.15,28.7916666666667,56.2083333333333,1.375,13
"126",2015,5,6,29.6583333333333,28.2333333333333,67.4583333333333,0.675,13
"127",2015,5,7,30.6166666666667,29.3958333333333,65.25,1.30416666666667,13
"128",2015,5,8,31.4958333333333,30.6166666666667,58.125,2.3125,13
"129",2015,5,9,30.5666666666667,29.3,61.125,2.05,13
"130",2015,5,10,31.2,30.2166666666667,59.3333333333333,2.51666666666667,13
"131",2015,5,11,31.025,30.0833333333333,59.5416666666667,2.70416666666667,13
"132",2015,5,12,31.0458333333333,29.9708333333333,61.25,2.69583333333333,13
"133",2015,5,13,30.4916666666667,29.6333333333333,61.9166666666667,3.43333333333333,13
"134",2015,5,14,30.6333333333333,29.8333333333333,59.25,3.59166666666667,13
"135",2015,5,15,29.6375,28.825,62.5833333333333,2.82083333333333,13
"136",2015,5,16,28.3791666666667,26.95,68.9166666666667,1.35416666666667,13
"137",2015,5,17,28.4833333333333,27.2041666666667,71.2083333333333,1.15833333333333,13
"138",2015,5,18,30.0791666666667,29.1666666666667,61.5,2.26666666666667,13
"139",2015,5,19,29.5416666666667,28.325,64.3333333333333,2.09166666666667,13
"140",2015,5,20,29.0416666666667,28.025,65.7916666666667,1.6125,13
"141",2015,5,21,30.2458333333333,28.9583333333333,63.5,1.40416666666667,13
"142",2015,5,22,30.05,29.0041666666667,64.375,2.025,13
"143",2015,5,23,30.5666666666667,29.6041666666667,61.3333333333333,2.56666666666667,13
"144",2015,5,24,29.4625,28.2666666666667,65.625,1.84166666666667,13
"145",2015,5,25,30.2958333333333,29.0541666666667,63.0833333333333,1.64583333333333,13
"146",2015,5,26,29.3541666666667,28.4083333333333,66.75,2.30416666666667,13
"147",2015,5,27,29.4875,28.3875,62.875,2.07083333333333,13
"148",2015,5,28,29.8375,28.5541666666667,54.0833333333333,1.86666666666667,13
"149",2015,5,29,29.1291666666667,27.8375,55.7083333333333,1.01666666666667,13
"150",2015,5,30,28.9833333333333,27.675,63.5,0.716666666666667,13
"151",2015,5,31,29.925,28.8666666666667,65.6666666666667,0.9625,13
"152",2015,6,1,30.8,29.6958333333333,65.5833333333333,0.995833333333333,14
"153",2015,6,2,30.0916666666667,28.8833333333333,74.5,0.4875,13
"154",2015,6,3,27.3541666666667,26.1791666666667,86.1666666666667,0.391666666666667,12
"155",2015,6,4,27.2416666666667,26.2083333333333,88.5416666666667,0.341666666666667,13
"156",2015,6,5,27.1125,25.9791666666667,89.7916666666667,0.245833333333333,13
"157",2015,6,6,26.5458333333333,25.5583333333333,89.5416666666667,0.3625,12
"158",2015,6,7,27.5875,26.6958333333333,87.0416666666667,0.316666666666667,13
"159",2015,6,8,26.5458333333333,25.9583333333333,84.75,0.433333333333333,13
"160",2015,6,9,27.0208333333333,25.9958333333333,85.9583333333333,0.404166666666667,13
"161",2015,6,10,26.0833333333333,25.2666666666667,89.75,0.333333333333333,13
"162",2015,6,11,26.4458333333333,25.5166666666667,88.75,0.4875,13
"163",2015,6,12,27.9708333333333,26.9875,83.5,0.395833333333333,14
"164",2015,6,13,28.1791666666667,27.0541666666667,83.4583333333333,0.266666666666667,13
"165",2015,6,14,29.2125,28.2875,74.0416666666667,1.44583333333333,13
"166",2015,6,15,29.1666666666667,28.1958333333333,71.9583333333333,1.55,14
"167",2015,6,16,30.2666666666667,29.2958333333333,68,2.35416666666667,13
"168",2015,6,17,29.925,29.1875,68.3333333333333,2.2625,13
"169",2015,6,18,29.2416666666667,28.4083333333333,73.2916666666667,1.41666666666667,13
"170",2015,6,19,29.8791666666667,29.1583333333333,69.8333333333333,2.74166666666667,13
"171",2015,6,20,30.2041666666667,29.2833333333333,68.5,2.675,13
"172",2015,6,21,28.5583333333333,27.8458333333333,71.9583333333333,2.30833333333333,13
"173",2015,6,22,29.8791666666667,29.1083333333333,63.6666666666667,3.20416666666667,14
"174",2015,6,23,29.5666666666667,28.7458333333333,67.9166666666667,3.14583333333333,13
"175",2015,6,24,30.3875,29.7083333333333,67.2083333333333,2.9375,13
"176",2015,6,25,30.8541666666667,30.1041666666667,65.875,3.075,13
"177",2015,6,26,30.5708333333333,29.8625,66.9583333333333,3.15833333333333,14
"178",2015,6,27,30.0208333333333,29.3125,63.25,3.3375,13
"179",2015,6,28,30.0166666666667,29.0333333333333,69.375,2.05,13
"180",2015,6,29,29.2375,28.2583333333333,73.8333333333333,1.425,13
"181",2015,6,30,28.4166666666667,27.625,71.7083333333333,2.525,14
"182",2015,7,1,30.0375,29.2333333333333,59.8333333333333,3.09166666666667,13
"183",2015,7,2,30.375,29.6708333333333,64.1666666666667,2.84583333333333,13
